achalasia-of-cardia.K11_ACHAL	K11_ACHAL
diagnoses-main-icd10-t40-poisoning-by-narcotics-and-psychodysleptics-hallucinogens.T40	T40
diagnoses-main-icd10-t42-poisoning-by-antiepileptic-sedative-hypnotic-and-anti-parkinsonism-drugs.T42	T42
diagnoses-main-icd10-t43-poisoning-by-psychotropic-drugs-not-elsewhere-classified.T43	T43
diagnoses-main-icd10-t50-poisoning-by-diuretics-and-other-and-unspecified-drugs-medicaments-and-biological-substances.T50	T50
diagnoses-main-icd10-t78-adverse-effects-not-elsewhere-classified.T78	T78
diagnoses-main-icd10-t79-certain-early-complications-of-trauma-not-elsewhere-classified.T79	T79
diagnoses-main-icd10-t81-complications-of-procedures-not-elsewhere-classified.T81	T81
diagnoses-main-icd10-t82-complications-of-cardiac-and-vascular-prosthetic-devices-implants-and-grafts.T82	T82
diagnoses-main-icd10-t83-complications-of-genito-urinary-prosthetic-devices-implants-and-grafts.T83	T83
diagnoses-main-icd10-t84-complications-of-internal-orthopaedic-prosthetic-devices-implants-and-grafts.T84	T84
diagnoses-main-icd10-t85-complications-of-other-internal-prosthetic-devices-implants-and-grafts.T85	T85
diagnoses-main-icd10-t86-failure-and-rejection-of-transplanted-organs-and-tissues.T86	T86
diagnoses-main-icd10-t87-complications-peculiar-to-reattachment-and-amputation.T87	T87
diagnoses-main-icd10-t88-other-complications-of-surgical-and-medical-care-not-elsewhere-classified.T88	T88
diagnoses-main-icd10-z00-general-examination-and-investigation-of-persons-without-complaint-or-reported-diagnosis.Z00	Z00
diagnoses-main-icd10-z01-other-special-examinations-and-investigations-of-persons-without-complaint-or-reported-diagnosis.Z01	Z01
diagnoses-main-icd10-z03-medical-observation-and-evaluation-for-suspected-diseases-and-conditions.Z03	Z03
diagnoses-main-icd10-z04-examination-and-observation-for-other-reasons.Z04	Z04
diagnoses-main-icd10-z08-follow-up-examination-after-treatment-for-malignant-neoplasm.Z08	Z08
diagnoses-main-icd10-z09-follow-up-examination-after-treatment-for-conditions-other-than-malignant-neoplasms.Z09	Z09
diagnoses-main-icd10-z11-special-screening-examination-for-infectious-and-parasitic-diseases.Z11	Z11
diagnoses-main-icd10-z12-special-screening-examination-for-neoplasms.Z12	Z12
diagnoses-main-icd10-z13-special-screening-examination-for-other-diseases-and-disorders.Z13	Z13
diagnoses-main-icd10-z29-need-for-other-prophylactic-measures.Z29	Z29
diagnoses-main-icd10-z30-contraceptive-management.Z30	Z30
diagnoses-main-icd10-z31-procreative-management.Z31	Z31
diagnoses-main-icd10-z34-supervision-of-normal-pregnancy.Z34	Z34
diagnoses-main-icd10-z35-supervision-of-high-risk-pregnancy.Z35	Z35
diagnoses-main-icd10-z36-antenatal-screening.Z36	Z36
diagnoses-main-icd10-z39-postpartum-care-and-examination.Z39	Z39
diagnoses-main-icd10-z40-prophylactic-surgery.Z40	Z40
diagnoses-main-icd10-z41-procedures-for-purposes-other-than-remedying-health-state.Z41	Z41
diagnoses-main-icd10-z42-follow-up-care-involving-plastic-surgery.Z42	Z42
diagnoses-main-icd10-z43-attention-to-artificial-openings.Z43	Z43
diagnoses-main-icd10-z45-adjustment-and-management-of-implanted-device.Z45	Z45
diagnoses-main-icd10-z46-fitting-and-adjustment-of-other-devices.Z46	Z46
diagnoses-main-icd10-z47-other-orthopaedic-follow-up-care.Z47	Z47
diagnoses-main-icd10-z48-other-surgical-follow-up-care.Z48	Z48
diagnoses-main-icd10-z50-care-involving-use-of-rehabilitation-procedures.Z50	Z50
diagnoses-main-icd10-z51-other-medical-care.Z51	Z51
diagnoses-main-icd10-z52-donors-of-organs-and-tissues.Z52	Z52
diagnoses-main-icd10-z53-persons-encountering-health-services-for-specifie-procedures-not-carried-out.Z53	Z53
diagnoses-main-icd10-z71-persons-encountering-health-services-for-other-counselling-and-medical-advice-not-elsewhere-classified.Z71	Z71
diagnoses-main-icd10-z76-persons-encountering-health-services-in-other-circumstances.Z76	Z76
diagnoses-main-icd10-z80-family-history-of-malignant-neoplasm.Z80	Z80
diagnoses-main-icd10-z85-personal-history-of-malignant-neoplasm.Z85	Z85
diagnoses-main-icd10-z87-personal-history-of-other-diseases-and-conditions.Z87	Z87
diastolic-blood-pressure-manual-reading.94_raw	94_raw
difficulty-concentrating-during-worst-depression.20435	20435
difficulty-concentrating-during-worst-period-of-anxiety.20419	20419
difficulty-not-smoking-for-1-day.3476	3476
difficulty-stopping-worrying-during-worst-period-of-anxiety.20541	20541
diffuse-brain-injury.G6_DIFBRAININJ	G6_DIFBRAININJ
diplopia.H7_DIPLOPIA	H7_DIPLOPIA
doctor-diagnosed-asthma.22127	22127
doctor-diagnosed-bronchiectasis.22134	22134
doctor-diagnosed-chronic-bronchitis.22129	22129
doctor-diagnosed-copd-chronic-obstructive-pulmonary-disease.22130	22130
doctor-diagnosed-emphysema.22128	22128
diseases-of-appendix.K11_APPENDIX	K11_APPENDIX
diseases-of-liver.K11_LIVER	K11_LIVER
diseases-of-peritoneum.K11_PERITON	K11_PERITON
diseases-of-the-blood-and-blood-forming-organs-and-certain-disorders-involving-the-immune-mechanism.III_BLOOD_IMMUN	III_BLOOD_IMMUN
diseases-of-the-circulatory-system.IX_CIRCULATORY	IX_CIRCULATORY
diseases-of-the-digestive-system.XI_DIGESTIVE	XI_DIGESTIVE
diseases-of-the-ear-and-mastoid-process.VIII_EAR_MASTOID	VIII_EAR_MASTOID
diseases-of-the-eye-and-adnexa.VII_EYE_ADNEXA	VII_EYE_ADNEXA
diseases-of-the-genitourinary-system.XIV_GENITOURINARY	XIV_GENITOURINARY
diseases-of-the-musculoskeletal-system-and-connective-tissue.XIII_MUSCULOSKELET	XIII_MUSCULOSKELET
diseases-of-the-myoneural-junction-and-muscle.G6_MYONEU	G6_MYONEU
diseases-of-the-nervous-system.VI_NERVOUS	VI_NERVOUS
diseases-of-the-respiratory-system.X_RESPIRATORY	X_RESPIRATORY
diseases-of-the-skin-and-subcutaneous-tissue.XII_SKIN_SUBCUTAN	XII_SKIN_SUBCUTAN
diseases-of-veins-lymphatic-vessels-and-lymph-nodes-not-elsewhere-classified.I9_DISVEINLYMPH	I9_DISVEINLYMPH
disorders-of-brain-other-and-unspecified.G6_DISBROTHUNS	G6_DISBROTHUNS
disorders-of-gallbladder-biliary-tract-and-pancreas.K11_GALLBILPANC	K11_GALLBILPANC
disorders-of-lacrimal-system.H7_LACRIMALSYSTEM	H7_LACRIMALSYSTEM
disorders-of-lens.H7_LENS	H7_LENS
disorders-of-muscles.M13_MUSCLE	M13_MUSCLE
disorders-of-refraction-and-accommodation.H7_REFRAACCOMMODIS	H7_REFRAACCOMMODIS
disorders-of-synovium-and-tendon.M13_SYNOTEND	M13_SYNOTEND
disorders-of-vestibular-function-vertigo.H8_VERTIGO	H8_VERTIGO
disorders-of-vitreous-body.H7_VITRBODYGLOBE	H7_VITRBODYGLOBE
divergent-concomitant-strabismus.H7_DIVERGSTRAB	H7_DIVERGSTRAB
doctor-diagnosed-hayfever-or-allergic-rhinitis.22126	22126
doctor-diagnosed-lung-cancer-not-mesothelioma.22140	22140
doctor-diagnosed-sarcoidosis.22133	22133
doctor-diagnosed-tuberculosis.22137	22137
dorsalgia.M13_DORSALGIA	M13_DORSALGIA
ecg-heart-rate.5983_raw	5983_raw
endocarditis.I9_ENDOCARD	I9_ENDOCARD
endometriosis-of-ovary.ENDOMETRIOSIS_OVARY	ENDOMETRIOSIS_OVARY
endometriosis-of-pelvic-peritoneum.ENDOMETRIOSIS_PELVICPERITONEUM	ENDOMETRIOSIS_PELVICPERITONEUM
endometriosis-of-uterus.ENDOMETRIOSIS_UTERUS	ENDOMETRIOSIS_UTERUS
episodal-and-paroxysmal-disorders.G6_EPIPAROX	G6_EPIPAROX
eye-problemsdisorders-cataract.6148_4	6148_4
eye-problemsdisorders-diabetes-related-eye-disease.6148_1	6148_1
eye-problemsdisorders-glaucoma.6148_2	6148_2
eye-problemsdisorders-macular-degeneration.6148_5	6148_5
flexion-deformity.M13_FLEXION	M13_FLEXION
ever-addicted-to-a-behaviour-or-miscellanous.20431	20431
ever-addicted-to-alcohol.20406	20406
ever-addicted-to-any-substance-or-behaviour.20401	20401
ever-addicted-to-illicit-or-recreational-drugs.20456	20456
ever-addicted-to-prescription-or-over-the-counter-medication.20503	20503
ever-attempted-suicide.20483	20483
ever-believed-in-an-un-real-conspiracy-against-self.20468	20468
ever-believed-in-un-real-communications-or-signs.20474	20474
ever-contemplated-self-harm.20485	20485
ever-depressed-for-a-whole-week.4598	4598
ever-felt-worried-tense-or-anxious-for-most-of-a-month-or-longer.20421	20421
ever-had-eye-surgery.5181	5181
ever-had-hysterectomy-womb-removed.3591	3591
ever-had-laser-treatment-for-glaucoma-or-high-eye-pressure-both-eyes.5327_4	5327_4
ever-had-period-extreme-irritability.20502	20502
ever-had-period-of-mania-excitability.20501	20501
ever-had-prolonged-feelings-of-sadness-or-depression.20446	20446
ever-had-prolonged-loss-of-interest-in-normal-activities.20441	20441
ever-had-same-sex-intercourse.2159	2159
ever-heard-an-un-real-voice.20463	20463
ever-manichyper-for-2-days.4642	4642
ever-physically-dependent-on-alcohol.20404	20404
ever-seen-an-un-real-vision.20471	20471
ever-self-harmed.20480	20480
ever-smoked.20160	20160
ever-sought-or-received-professional-help-for-mental-distress.20499	20499
ever-thought-that-life-not-worth-living.20479	20479
ever-unenthusiasticdisinterested-for-a-whole-week.4631	4631
ever-worried-more-than-most-people-would-in-similar-situation.20425	20425
fluid-intelligence-score.20016_raw	20016_raw
follicular-lymphoma.C_FOLLICULAR_LYMPHOMA	C_FOLLICULAR_LYMPHOMA
gastroduodenal-ulcer.K11_GASTRODUOULC	K11_GASTRODUOULC
general-happiness.20458	20458
fed-up-feelings.1960	1960
feelings-of-tiredness-during-worst-episode-of-depression.20449	20449
feelings-of-worthlessness-during-worst-period-of-depression.20450	20450
fi10-arithmetic-sequence-recognition.5699	5699
fi11-antonym.5779	5779
fi13-subset-inclusion-logic.5866	5866
fi2-identify-largest-number.4946	4946
fi3-word-interpolation.4957	4957
fi4-positional-arithmetic.4968	4968
fi5-family-relationship-calculation.4979	4979
fi6-conditional-arithmetic.4990	4990
fi7-synonym.5001	5001
fi8-chained-arithmetic.5012	5012
fi9-concept-interpolation.5556	5556
fibroblastic-disorders.M13_FIBROBLASTIC	M13_FIBROBLASTIC
gestational-diabetes-only.4041	4041
getting-up-in-morning.1170	1170
gi-bleeding.K11_GIBLEEDING	K11_GIBLEEDING
forced-vital-capacity-fvc.3062_raw	3062_raw
fracture-resulting-from-simple-fall.3005	3005
frequency-of-friendfamily-visits.1031	1031
friendships-satisfaction.4570	4570
giant-cell-arteritis.M13_GIANTCELL	M13_GIANTCELL
glomerular-diseases.N14_GLOMERULAR	N14_GLOMERULAR
glomerulonephritis.GLOMER_NEPHRITIS	GLOMER_NEPHRITIS
gonarthrosis-arthrosis-of-kneefg.KNEE_ARTHROSIS	KNEE_ARTHROSIS
gout-finngen.GOUT	GOUT
gout-unspecified.GOUT_NOS	GOUT_NOS
granulomatous-disorders-of-skin-and-subcutaneous-tissue.L12_GRANULOMATOUSSKIN	L12_GRANULOMATOUSSKIN
guillain-barre-syndrome.G6_GUILBAR	G6_GUILBAR
guilty-feelings.2030	2030
hairbalding-pattern-pattern-1.2395_1	2395_1
hairbalding-pattern-pattern-2.2395_2	2395_2
hairbalding-pattern-pattern-3.2395_3	2395_3
hairbalding-pattern-pattern-4.2395_4	2395_4
handedness-chiralitylaterality-left-handed.1707_2	1707_2
heart-failure.HEARTFAIL	HEARTFAIL
heel-bone-mineral-density-bmd.3148_raw	3148_raw
hernia.K11_HERNIA	K11_HERNIA
hidradenitis-suppurativa.L12_HIDRADENITISSUP	L12_HIDRADENITISSUP
hodgkin-lymphoma.C_HODGKIN_LYMPHOMA	C_HODGKIN_LYMPHOMA
hordeolum-and-other-deep-inflammation-of-eyelid.H7_HORDEOLUM	H7_HORDEOLUM
hydrocephalus.G6_HYDROCEPH	G6_HYDROCEPH
hypergammalglobulinemia-unspecified.D3_HYPERGAMMAGLONAS	D3_HYPERGAMMAGLONAS
hypertension-complicating-pregnancy-childbirth-and-the-puerperium.I9_HYPTENSPREG	I9_HYPTENSPREG
hypertension.I9_HYPTENS	I9_HYPTENS
hypertensive-diseases.I9_HYPERTENSION	I9_HYPERTENSION
hypertensive-heart-andor-renal-disease.I9_HYPTENSHR	I9_HYPTENSHR
hypertrophic-disorders-of-skin.L12_HYPERTROPHICSKIN	L12_HYPERTROPHICSKIN
hypertrophic-scar.L12_HYPETROPHICSCAR	L12_HYPETROPHICSCAR
hypothyroidism-congenital-or-acquired.HYPOTHYROIDISM	HYPOTHYROIDISM
hypothyroidismotherunspecified.E4_HYTHYNAS	E4_HYTHYNAS
idiopathic-pulmonary-fibrosis-attempt-to-specificity.IPF	IPF
idiopathic-thrombocytopenic-purpura.D3_ITP	D3_ITP
ild-differential-diagnosis.ILD_DIFF_DG	ILD_DIFF_DG
inflammatory-diseases-of-the-central-nervous-system.G6_NEUINFL	G6_NEUINFL
ingrowing-nail.L12_NAIL_INGROW	L12_NAIL_INGROW
interpolated-age-of-participant-when-cancer-first-diagnosed.20007_raw	20007_raw
intestinal-infectious-diseases.AB1_INTESTINAL_INFECTIONS	AB1_INTESTINAL_INFECTIONS
iron-deficiency-anaemia.D3_ANAEMIA_IRONDEF	D3_ANAEMIA_IRONDEF
irritability.1940	1940
ischaemic-heart-disease-wide-definition.I9_IHD	I9_IHD
ischaemic-stroke-excluding-all-haemorrhages.I9_STR_EXH	I9_STR_EXH
keratitis.H7_KERATITIS	H7_KERATITIS
labyrinthitis.H8_LABYRINTHITIS	H8_LABYRINTHITIS
lateral-epicondylitis.M13_LATERALEPICOND	M13_LATERALEPICOND
length-of-menstrual-cycle.3710	3710
lichen-sclerosus-et-atrophicus.L12_LICHENSCLERATROPH	L12_LICHENSCLERATROPH
lichen-simplex-chronicus-and-prurigo.L12_LICHSIMPANDPRURIGO	L12_LICHSIMPANDPRURIGO
lung-cancer-and-mesothelioma.LUNG_CANCER	LUNG_CANCER
lung-cancer-and-mesothelioma.LUNG_CANCER_MESOT	LUNG_CANCER_MESOT
lung-diseases-due-to-external-agents.J10_EXTERLUNG	J10_EXTERLUNG
lymphocyte-percentage.30180_raw	30180_raw
lymphoid-leukaemia.C_LYMPHOID_LEUKAEMIA	C_LYMPHOID_LEUKAEMIA
lifetime-number-of-same-sex-sexual-partners.3669	3669
lifetime-number-of-sexual-partners.2149	2149
loneliness-isolation.2020	2020
longest-period-of-depression.4609_raw	4609_raw
longest-period-of-mania-or-irritability.20492	20492
longest-period-of-unenthusiasm-disinterest.5375_raw	5375_raw
longest-period-spent-worried-or-anxious.20420_raw	20420_raw
lymphomas.C_LYMPHOMA	C_LYMPHOMA
major-coronary-heart-disease-event-excluding-revascularizations.I9_CHD_NOREV	I9_CHD_NOREV
major-coronary-heart-disease-event.I9_CHD	I9_CHD
malignant-melanoma-of-skin.C_MELANOMA_SKIN	C_MELANOMA_SKIN
malignant-neoplasm-of-anus-and-anal-canal.C_ANUS_ANALCANAL	C_ANUS_ANALCANAL
malignant-neoplasm-of-bladder.C_BLADDER	C_BLADDER
malignant-neoplasm-of-brain.C_BRAIN	C_BRAIN
malignant-neoplasm-of-breast.C_BREAST_3	C_BREAST_3
malignant-neoplasm-of-bronchus-and-lung.C_BRONCHUS_LUNG	C_BRONCHUS_LUNG
malignant-neoplasm-of-cervix-uteri.C_CERVIX_UTERI	C_CERVIX_UTERI
malignant-neoplasm-of-colon.C_COLON	C_COLON
malignant-neoplasm-of-corpus-uteri.C_CORPUS_UTERI	C_CORPUS_UTERI
malignant-neoplasm-of-digestive-organs.C3_DIGESTIVE_ORGANS	C3_DIGESTIVE_ORGANS
malignant-neoplasm-of-endocrine-gland.C3_ENDOCRINE	C3_ENDOCRINE
malignant-neoplasm-of-eye-and-adnexa.C_EYE_ADNEXA	C_EYE_ADNEXA
malignant-neoplasm-of-eye-brain-and-central-nervous-system.C3_EYE_BRAIN_NEURO	C3_EYE_BRAIN_NEURO
malignant-neoplasm-of-female-genital-organs.C3_FEMALE_GENITAL	C3_FEMALE_GENITAL
malignant-neoplasm-of-kidney-except-renal-pelvis.C_KIDNEY_NOTRENALPELVIS	C_KIDNEY_NOTRENALPELVIS
malignant-neoplasm-of-larynx.C_LARYNX	C_LARYNX
malignant-neoplasm-of-lip-oral-cavity-and-pharynx.C3_LIP_ORAL_PHARYNX	C3_LIP_ORAL_PHARYNX
malignant-neoplasm-of-liver-and-intrahepatic-bile-ducts.C_LIVER_INTRAHEPATIC_BILE_DUCTS	C_LIVER_INTRAHEPATIC_BILE_DUCTS
malignant-neoplasm-of-male-genital-organs.C3_MALE_GENITAL	C3_MALE_GENITAL
malignant-neoplasm-of-oesophagus.C_OESOPHAGUS	C_OESOPHAGUS
malignant-neoplasm-of-oesophagus.C3_OESOPHAGUS	C3_OESOPHAGUS
malignant-neoplasm-of-other-and-unspecified-parts-of-tongue.C_TONGUENAS	C_TONGUENAS
malignant-neoplasm-of-other-connective-and-soft-tissue.C_CONNECTIVE_SOFT_NAS	C_CONNECTIVE_SOFT_NAS
malignant-neoplasm-of-pancreas.C_PANCREAS	C_PANCREAS
malignant-neoplasm-of-prostate.C_PROSTATE	C_PROSTATE
malignant-neoplasm-of-rectosigmoid-junction.C_RECTOISIGMOID_JUNCTION	C_RECTOISIGMOID_JUNCTION
malignant-neoplasm-of-rectum.C_RECTUM	C_RECTUM
malignant-neoplasm-of-respiratory-system-and-intrathoracic-organs.C3_RESPIRATORY_INTRATHORACIC	C3_RESPIRATORY_INTRATHORACIC
malignant-neoplasm-of-skin.C3_SKIN	C3_SKIN
malignant-neoplasm-of-small-intestine.C_SMALL_INTESTINE	C_SMALL_INTESTINE
malignant-neoplasm-of-stomach.C_STOMACH	C_STOMACH
malignant-neoplasm-of-testis.C_TESTIS	C_TESTIS
malignant-neoplasm-of-thyroid-gland.C_THYROID_GLAND	C_THYROID_GLAND
malignant-neoplasm-of-tonsil.C_TONSIL	C_TONSIL
malignant-neoplasm-of-urinary-organs.C3_URINARY_TRACT	C3_URINARY_TRACT
malignant-neoplasm-without-specification-of-site.C_SECONDARY_WITHOUT_SITESPEC	C_SECONDARY_WITHOUT_SITESPEC
manichyper-symptoms-all-of-the-above.6156_15	6156_15
mature-tnk-cell-lymphomas.C_TNK_LYMPHOMA	C_TNK_LYMPHOMA
maximum-digits-remembered-correctly.4282	4282
maximum-heart-rate-during-fitness-test.6033_raw	6033_raw
mean-corpuscular-haemoglobin-concentration.30060_raw	30060_raw
mean-platelet-thrombocyte-volume.30100_raw	30100_raw
mean-reticulocyte-volume.30260_raw	30260_raw
mean-sphered-cell-volume.30270_raw	30270_raw
mean-time-to-correctly-identify-matches.20023_raw	20023_raw
medial-epicondylitis.M13_MEDIALEPICOND	M13_MEDIALEPICOND
melignant-neoplasm-of-mesothelium-and-soft-tissue.C3_MESTOTHEL_SOFTTISSUE	C3_MESTOTHEL_SOFTTISSUE
memory-loss.MEMLOSS	MEMLOSS
mean-signal-to-noise-ratio-snr-left.4233_raw	4233_raw
mean-signal-to-noise-ratio-snr-right.4244_raw	4244_raw
ménière-disease.H8_MENIERE	H8_MENIERE
meningitis.MENINGITIS	MENINGITIS
meniscus-derangement.M13_MENISCUSDERANGEMENTS	M13_MENISCUSDERANGEMENTS
mental-and-behavioural-disorders.V_MENTAL_BEHAV	V_MENTAL_BEHAV
mental-health-problems-ever-diagnosed-by-a-professional-a-personality-disorder.20544_4	20544_4
mental-health-problems-ever-diagnosed-by-a-professional-agoraphobia.20544_17	20544_17
mental-health-problems-ever-diagnosed-by-a-professional-anorexia-nervosa.20544_16	20544_16
mental-health-problems-ever-diagnosed-by-a-professional-anxiety-nerves-or-generalized-anxiety-disorder.20544_15	20544_15
mental-health-problems-ever-diagnosed-by-a-professional-any-other-phobia-eg-disabling-fear-of-heights-or-spiders.20544_5	20544_5
mental-health-problems-ever-diagnosed-by-a-professional-any-other-type-of-psychosis-or-psychotic-illness.20544_3	20544_3
mental-health-problems-ever-diagnosed-by-a-professional-autism-aspergers-or-autistic-spectrum-disorder.20544_14	20544_14
mental-health-problems-ever-diagnosed-by-a-professional-bulimia-nervosa.20544_12	20544_12
mental-health-problems-ever-diagnosed-by-a-professional-depression.20544_11	20544_11
mental-health-problems-ever-diagnosed-by-a-professional-mania-hypomania-bipolar-or-manic-depression.20544_10	20544_10
mental-health-problems-ever-diagnosed-by-a-professional-obsessive-compulsive-disorder-ocd.20544_7	20544_7
mental-health-problems-ever-diagnosed-by-a-professional-panic-attacks.20544_6	20544_6
mental-health-problems-ever-diagnosed-by-a-professional-psychological-over-eating-or-binge-eating.20544_13	20544_13
mental-health-problems-ever-diagnosed-by-a-professional-schizophrenia.20544_2	20544_2
mental-health-problems-ever-diagnosed-by-a-professional-social-anxiety-or-social-phobia.20544_1	20544_1
mesothelioma.C_MESOTHELIOMA	C_MESOTHELIOMA
metatarsalgia.M13_METATARSALGIA	M13_METATARSALGIA
miserableness.1930	1930
monocyte-percentage.30190_raw	30190_raw
mood-disorders.KRA_PSY_MOOD	KRA_PSY_MOOD
mood-swings.1920	1920
morningevening-person-chronotype.1180	1180
mothers-age-at-death.3526_raw	3526_raw
motor-neuron-disease.G6_ALS	G6_ALS
mouthteeth-dental-problems-bleeding-gums.6149_3	6149_3
mouthteeth-dental-problems-dentures.6149_6	6149_6
mouthteeth-dental-problems-loose-teeth.6149_4	6149_4
mouthteeth-dental-problems-mouth-ulcers.6149_1	6149_1
mouthteeth-dental-problems-none-of-the-above.6149_100	6149_100
mouthteeth-dental-problems-painful-gums.6149_2	6149_2
mouthteeth-dental-problems-toothache.6149_5	6149_5
multiple-myeloma-and-malignant-plasma-cell-neoplasms.C_MULTIPLE_MYELOMA_PLASMA_CELL	C_MULTIPLE_MYELOMA_PLASMA_CELL
myalgia.M13_MYALGIA	M13_MYALGIA
mycoses.AB1_MYCOSES	AB1_MYCOSES
myeloid-leukaemia.C_MYELOID-LEUKAEMIA	C_MYELOID-LEUKAEMIA
myocardial-infarction-strict.I9_MI_STRICT	I9_MI_STRICT
myocardial-infarction.I9_MI	I9_MI
nail-disorders.L12_NAILDIS	L12_NAILDIS
nap-during-day.1190	1190
neoplasms.II_NEOPLASM	II_NEOPLASM
nerve-nerve-root-and-plexus-disorders.G6_NERPLEX	G6_NERPLEX
nervous-feelings.1970	1970
neuralgia-and-neuritis-unspecified.M13_NEURALGIA	M13_NEURALGIA
neuroticism-score.20127_raw	20127_raw
neutrophill-percentage.30200_raw	30200_raw
non-cancer-illness-code-self-reported-abdominal-hernia.20002_1511	20002_1511
non-cancer-illness-code-self-reported-acneacne-vulgaris.20002_1548	20002_1548
non-cancer-illness-code-self-reported-acute-infective-polyneuritisguillain-barre-syndrome.20002_1256	20002_1256
non-cancer-illness-code-self-reported-adrenocortical-insufficiencyaddisons-disease.20002_1234	20002_1234
non-cancer-illness-code-self-reported-alcohol-dependency.20002_1408	20002_1408
non-cancer-illness-code-self-reported-allergy-or-anaphylactic-reaction-to-drug.20002_1386	20002_1386
non-cancer-illness-code-self-reported-allergy-or-anaphylactic-reaction-to-food.20002_1385	20002_1385
non-cancer-illness-code-self-reported-allergy-to-house-dust-mite.20002_1668	20002_1668
non-cancer-illness-code-self-reported-allergyhypersensitivityanaphylaxis.20002_1374	20002_1374
non-cancer-illness-code-self-reported-anaemia.20002_1446	20002_1446
non-cancer-illness-code-self-reported-anal-fissure.20002_1504	20002_1504
non-cancer-illness-code-self-reported-angina.20002_1074	20002_1074
non-cancer-illness-code-self-reported-ankylosing-spondylitis.20002_1313	20002_1313
non-cancer-illness-code-self-reported-anorexiabulimiaother-eating-disorder.20002_1470	20002_1470
non-cancer-illness-code-self-reported-anxietypanic-attacks.20002_1287	20002_1287
non-cancer-illness-code-self-reported-appendicitis.20002_1502	20002_1502
non-cancer-illness-code-self-reported-arthritis-nos.20002_1538	20002_1538
non-cancer-illness-code-self-reported-asbestosis.20002_1120	20002_1120
non-cancer-illness-code-self-reported-asthma.20002_1111	20002_1111
non-cancer-illness-code-self-reported-atrial-fibrillation.20002_1471	20002_1471
non-cancer-illness-code-self-reported-back-pain.20002_1534	20002_1534
non-cancer-illness-code-self-reported-back-problem.20002_1294	20002_1294
non-cancer-illness-code-self-reported-bells-palsyfacial-nerve-palsy.20002_1250	20002_1250
non-cancer-illness-code-self-reported-benign-essential-tremor.20002_1525	20002_1525
non-cancer-illness-code-self-reported-benign-neuroma.20002_1683	20002_1683
non-cancer-illness-code-self-reported-bladder-problem-not-cancer.20002_1201	20002_1201
non-cancer-illness-code-self-reported-blepharitis-eyelid-infection.20002_1613	20002_1613
non-cancer-illness-code-self-reported-blisteringdesquamating-skin-disorder.20002_1454	20002_1454
non-cancer-illness-code-self-reported-bone-disorder.20002_1293	20002_1293
non-cancer-illness-code-self-reported-bowel-intestinal-obstruction.20002_1602	20002_1602
non-cancer-illness-code-self-reported-brain-haemorrhage.20002_1491	20002_1491
non-cancer-illness-code-self-reported-bronchiectasis.20002_1114	20002_1114
non-cancer-illness-code-self-reported-bronchitis.20002_1412	20002_1412
non-cancer-illness-code-self-reported-burns.20002_1407	20002_1407
non-cancer-illness-code-self-reported-bursitis.20002_1620	20002_1620
non-cancer-illness-code-self-reported-cardiomyopathy.20002_1079	20002_1079
non-cancer-illness-code-self-reported-carpal-tunnel-syndrome.20002_1541	20002_1541
non-cancer-illness-code-self-reported-cataract.20002_1278	20002_1278
non-cancer-illness-code-self-reported-cellulitis.20002_1625	20002_1625
non-cancer-illness-code-self-reported-cerebral-aneurysm.20002_1425	20002_1425
non-cancer-illness-code-self-reported-cerebral-palsy.20002_1433	20002_1433
non-cancer-illness-code-self-reported-cervical-spondylosis.20002_1478	20002_1478
non-cancer-illness-code-self-reported-chickenpox.20002_1571	20002_1571
non-cancer-illness-code-self-reported-cholecystitis.20002_1163	20002_1163
non-cancer-illness-code-self-reported-cholelithiasisgall-stones.20002_1162	20002_1162
non-cancer-illness-code-self-reported-chronic-fatigue-syndrome.20002_1482	20002_1482
non-cancer-illness-code-self-reported-chronic-obstructive-airways-diseasecopd.20002_1112	20002_1112
non-cancer-illness-code-self-reported-chronic-sinusitis.20002_1416	20002_1416
non-cancer-illness-code-self-reported-chronic-skin-ulcers.20002_1455	20002_1455
non-cancer-illness-code-self-reported-chronicdegenerative-neurological-problem.20002_1258	20002_1258
non-cancer-illness-code-self-reported-clotting-disorderexcessive-bleeding.20002_1445	20002_1445
non-cancer-illness-code-self-reported-colitisnot-crohns-or-ulcerative-colitis.20002_1459	20002_1459
non-cancer-illness-code-self-reported-connective-tissue-disorder.20002_1373	20002_1373
non-cancer-illness-code-self-reported-constipation.20002_1599	20002_1599
non-cancer-illness-code-self-reported-cranial-nerve-problempalsy.20002_1249	20002_1249
non-cancer-illness-code-self-reported-crohns-disease.20002_1462	20002_1462
non-cancer-illness-code-self-reported-cystitis.20002_1514	20002_1514
non-cancer-illness-code-self-reported-deep-venous-thrombosis-dvt.20002_1094	20002_1094
non-cancer-illness-code-self-reported-deliberate-self-harmsuicide-attempt.20002_1290	20002_1290
non-cancer-illness-code-self-reported-depression.20002_1286	20002_1286
non-cancer-illness-code-self-reported-diabetes.20002_1220	20002_1220
non-cancer-illness-code-self-reported-diabetic-eye-disease.20002_1276	20002_1276
non-cancer-illness-code-self-reported-diabetic-neuropathyulcers.20002_1468	20002_1468
non-cancer-illness-code-self-reported-disc-degeneration.20002_1533	20002_1533
non-cancer-illness-code-self-reported-disc-problem.20002_1532	20002_1532
non-cancer-illness-code-self-reported-diverticular-diseasediverticulitis.20002_1458	20002_1458
